,Name,Birthday,Loves,Marriage Candidate,Family,Friends,Likes,Dislikes
0,Abigail,Fall 13,-Prismatic shard -Rabbit's foot -Amethyst -Blackberry cobbler -Chocolate cake -Pufferfish -Pumpkin -Spicy eel,Yes,"Pierre, Caroline","Sam, Sebastian",,Amaranth Corn Cactus Fruit 
1,Alex,Summer 13,-Prismatic shard -Rabbit's foot -Complete breakfast -Salmon dinner,Yes,"George, Evelyn",Haley,,
2,Elliott,Fall 5,-Prismatic shard -Rabbit's foot -Crab cakes -Duck feather -Lobster -Pomegranate -Tom Kha Soup,Yes,,"Willy, Leah",Blueberry Cranberries Grape Melon Rhubarb Starfruit Strawberry Octopus Squid Spice Berry Grape Wild Plum Blackberry Crystal Fruit Cactus Fruit Coconut ,Purple Mushroom 
3,Emily,Spring 27,-Prismatic shard -Rabbit's foot -Amethyst -Aquamarine -Cloth -Emerald -Jade -Ruby -Survival burger -Topaz -Wool,Yes,Haley,Sandy,Daffodil ,
4,Haley,Spring 14,-Rabbit's foot -Coconut -Fruit salad -Pink cake -Sunflower,Yes,Emily,Alex,Daffodil ,Amaranth Artichoke Beet Bok Choy Cauliflower Corn Eggplant Garlic Green Bean Kale Parsnip Potato Radish Red Cabbage Tomato Yam Fiddlehead Fern Purple Mushroom Cactus Fruit 
5,Harvey,Winter 14,-Prismatic shard -Rabbit's foot -Coffee -Pickles -Super meal -Truffle oil -Wine,Yes,,,Blueberry Cranberries Grape Melon Rhubarb Starfruit Wild Horseradish Daffodil Leek Dandelion Spring Onion Morel Common Mushroom Grape Wild Plum Hazelnut Blackberry Chanterelle Winter Root Crystal Fruit Snow Yam Purple Mushroom Cactus Fruit Coconut Holly ,Clam 
6,Leah,Winter 23,-Prismatic shard -Rabbit's foot -Goat cheese -Poppyseed muffin -Salad -Stir fry -Truffle -Vegetable medley -Wine,Yes,,Elliott,Blueberry Cranberries Grape Melon Rhubarb Starfruit Strawberry Wild Horseradish Daffodil Leek Dandelion Spring Onion Morel Common Mushroom Salmonberry Spice Berry Grape Wild Plum Hazelnut Blackberry Chanterelle Winter Root Crystal Fruit Snow Yam Purple Mushroom Cactus Fruit Coconut Holly ,
7,Maru,Summer 10,-Prismatic shard -Rabbit's foot -Battery pack -Cauliflower -Cheese cauliflower -Diamond -Gold bar -Iridium bar -Miner's treat -Pepper poppers -Rhubarb pie -Strawberry,Yes,"Demetrius, Robin, Sebastian",Penny,,
8,Penny,Fall 2,-Prismatic shard -Diamond -Emerald -Melon -Poppy -Poppyseed muffin -Red plate -Roots platter -Sandfish -Tom Kha Soup,Yes,Pam,"Maru, , Sam",Leek Dandelion ,Purple Mushroom 
9,Sam,Summer 17,-Prismatic shard -Rabbit's foot -Cactus fruit -Maple bar -Pizza -Tigerseye,Yes,"Kent, Jodi, Vincent","Abigail, Penny, Sebastian",,Amaranth Artichoke Beet Bok Choy Cauliflower Corn Eggplant Garlic Green Bean Kale Parsnip Potato Pumpkin Radish Red Cabbage Tomato Yam Fiddlehead Fern Purple Mushroom 
10,Sebastian,Winter 10,-Prismatic shard -Rabbit's foot -Frozen tear -Obsidian -Pumpkin soup -Sashimi -Void egg,Yes,"Robin, Maru, Demetrius","Abigail, Sam",,Blue Jazz Fairy Rose Sunflower Tulip Sweet Pea Crocus Purple Mushroom 
11,Shane,Spring 20,-Prismatic shard -Rabbit's foot -Beer -Hot pepper -Pepper poppers -Pizza,Yes,"Marnie, Jas",,Blueberry Cranberries Grape Melon Rhubarb Starfruit Strawberry Salmonberry Spice Berry Grape Blackberry Crystal Fruit Cactus Fruit Coconut ,Purple Mushroom 
12,Caroline,Winter 7,-Prismatic shard -Rabbit's foot -Fish taco -Summer spangle,No,"Pierre, Abigail",Jodi,Daffodil ,Amaranth Purple Mushroom 
13,Clint,Winter 26,-Prismatic shard -Rabbit's foot -Amethyst -Aquamarine -Artichoke dip -Emerald -Fiddlehead risotto -Gold bar -Iridium bar -Jade -Omni geode -Ruby -Topaz,No,,Emily,,
14,Demetrius,Summer 19,-Prismatic shard -Rabbit's foot -Bean hotpot -Ice cream -Rice pudding -Strawberry,No,"Robin, Maru, Sebastian",,Blueberry Cranberries Grape Melon Rhubarb Starfruit Salmonberry Spice Berry Grape Blackberry Crystal Fruit Purple Mushroom Cactus Fruit Coconut ,
15,Dwarf,Summer 22,-Prismatic shard -Rabbit's foot -Amethyst -Aquamarine -Emerald -Jade -Omni geode -Ruby -Topaz,No,,,,Purple Mushroom 
16,Evelyn,Winter 20,-Prismatic shard -Rabbit's foot -Beet -Chocolate cake -Diamond -Fairy rose -Stuffing -Tulip,No,"George, Alex",,Daffodil ,Garlic Clam 
17,George,Fall 24,-Prismatic shard -Rabbit's foot -Leek -Fried mushroom,No,"Evelyn, Alex",,Daffodil ,Blue Jazz Fairy Rose Sunflower Tulip Sweet Pea Crocus 
18,Gus,Summer 8,-Prismatic shard -Rabbit's foot -Diamond -Escargot -Fish taco -Orange,No,,"Pam, Emily",Daffodil ,
19,Jas,Summer 4,-Prismatic shard -Rabbit's foot -Fairy rose -Pink cake -Plum pudding,No,"Marnie, Shane",Vincent,Daffodil Coconut ,Amaranth Artichoke Beet Bok Choy Cauliflower Corn Eggplant Garlic Green Bean Kale Parsnip Potato Pumpkin Radish Red Cabbage Tomato Yam Fiddlehead Fern Purple Mushroom Cactus Fruit 
20,Jodi,Fall 11,-Prismatic shard -Rabbit's foot -Chocolate cake -Crispy bass -Diamond -Eggplant parmesan -Fried eel -Pancakes -Rhubarb pie -Vegetable medley,No,"Kent, Sam, Vincent",Caroline,Blueberry Cranberries Grape Melon Rhubarb Starfruit Strawberry Salmonberry Grape Blackberry Crystal Fruit Cactus Fruit Coconut ,Garlic Purple Mushroom 
21,Kent,Spring 4,-Prismatic shard -Rabbit's foot -Fiddlehead risotto -Roasted hazelnuts,No,"Jodi, Sam, Vincent",,Blueberry Cranberries Grape Melon Rhubarb Starfruit Strawberry Daffodil Salmonberry Spice Berry Grape Blackberry Crystal Fruit Cactus Fruit Coconut ,
22,Krobus,Winter 1,-Prismatic shard -Rabbit's foot -Diamond -Iridium bar -Pumpkin -Void egg -Void mayonnaise -Wild horseradish,No,,,,Purple Mushroom 
