Fish,Reqiurements,Locations,Time,Seasons,Weather,Sells for,Fisher,Angler,Difficulty,Behavior,# for recipes,Loves,Likes
Albacore,,Ocean,6am - 11am; 6pm - 2am,"Fall, Winter",-,"75, 93, 112","93, 117, 140","112, 140, 168",60,Mixed,0-3,-,-
Glacierfish,level 7 fishing,South end of Arrowhead Island in Cindersap Forest,-,Winter,-,"1000, 1250, 1500","1250, 1562, 1875","1500, 1875, 2250",100,Mixed,0,-,-
Halibut,,Ocean,"6am - 11am, 7pm - 2am","Spring, Summer, Winter",-,"80, 100, 120","100, 125, 150","120, 150, 180",50,Sinker,0-3,-,-
Herring,,Ocean,-,"Spring, Winter",-,"30, 37, 45","37, 46, 56","45, 56, 67",25,Dart,0-3,-,-
Lingcod,,"River (town + forest), Mountain lake",-,Winter,-,"120, 150, 180","150, 187, 225","180, 225, 270",85,Mixed,0-3,-,Willy
Perch,,"River (town + forest), Forest Pond, Mountain lake",-,Winter,-,"55, 68, 82","68, 85, 103","82, 103, 123",35,Mixed,0-3,-,-
Pike,,"River (town+forest), Forest pond",-,"Summer, Winter",-,"100, 125, 150","125, 156, 187","150, 187, 225",60,Dart,0-3,-,-
Red mullet,,Ocean,6am - 7pm,"Summer, Winter",Any,"75, 93, 112","93, 117, 140","112, 140, 168",55,Smooth,0-3,-,-
Red snapper,,Ocean,6am - 7pm,"Summer, Fall, Winter",Rain,"50, 62, 75","62, 78, 93","75, 93, 112",40,Mixed,0-3,-,-
Sardine,,Ocean,6am - 7pm,"Spring, Fall, Winter",-,"40, 50, 60","50, 62, 75","60, 75, 90",30,Dart,4-Jan,-,-
Sea cucumber,,Ocean,6am - 7pm,"Fall, Winter",-,"75, 93, 112","93, 117, 140","112, 140, 168",40,Sinker,4-Jan,Willy,-
Squid,,Ocean,6pm - 2am,Winter,-,"80, 100, 120","100, 125, 150","120, 150, 180",75,Sinker,4-Jan,-,Elliott
Sturgeon,,Mountain lake,6am - 7pm,"Summer, Winter",-,"200, 250, 300","250, 312, 375","300, 375, 450",78,Mixed,0-3,Willy,-
Tiger trout,,River (town+forest),6am - 7pm,"Fall, Winter",-,"150, 187, 225","187, 234, 281","225, 281, 337",60,Dart,0-3,-,Willy
Tuna,,Ocean,6am - 7pm,"Summer, Winter",-,"100, 125, 150","125, 156, 187","150, 187, 225",70,Smooth,4-Jan,-,-
Blobfish,,Night market deep sea fishing,5pm - 2am,Winter,-,"500, 625, 750","625, 781, 937","750, 937, 1125",75,Floater,0,-,-
Midnight squid,,Night market deep sea fishing,5pm - 2am,Winter,-,"100, 125, 150","125, 156, 187","150, 187, 225",55,Sinker,0,-,-
Spook fish,,Night market deep sea fishing,5pm - 2am,Winter,-,"220, 275, 330","275, 343, 412","330, 412, 495",60,Dart,0,-,-
Bream,,River (town+forest),6pm - 2am,-,-,"45, 56, 67","56, 70, 84","67, 84, 101",35,Smooth,4-Jan,-,-
Bullhead,,Mountain Lake,-,-,-,"75, 93, 112","93, 117, 140","112, 140, 168",46,Smooth,0-3,-,-
Chub,,"River (forest), Mountain lake",-,-,-,"50, 62, 75","62, 78, 93","75, 93, 112",35,Dart,0-3,-,-
Ghostfish,,"Mines (20, 60, 100)",-,-,-,"45, 56, 67","56, 70, 84","67, 84, 101",50,Mixed,0-3,-,-
Ice Pip,level 5 fishing,Mines (60),-,-,-,"500, 625, 750","625, 781, 937","750, 937, 1125",85,Dart,0-3,-,-
Largemouth Bass,,Mountain lake,6am - 7pm,-,-,"100, 125, 150","125, 156, 187","150, 187, 225",50,Mixed,4-Jan,-,-
Lava Eel,level 7 fishing,Mines (100),-,-,-,"700, 875, 1050","875, 1093, 1312","1050, 1312, 1575",90,Mixed,0-3,-,-
Mutant Carp,,The sewers,-,-,-,"1000, 1250, 1500","1250, 1562, 1875","1500, 1875, 2250",80,Dart,0,-,-
Sandfish,,Desert,6am - 8pm,-,-,"75, 93, 112","93, 117, 140","112, 140, 168",65,Mixed,0-3,Penny,-
Scorpion Carp,,Desert (level 4 fishing),6am - 10pm,-,-,"150, 187, 225","187, 234, 281","225, 281, 337",90,Dart,0-3,-,-
Slimejack,,Mutant bug lair,6am - 2pm,-,-,"100, 125, 150","125, 156, 187","150, 187, 225",55,Dart,0-3,-,-
Stonefish,level 3 fishing,Mines (20),-,-,-,"300, 375, 450","375, 468, 562","450, 562, 675",65,Sinker,0-3,-,-
Void Salmon,,Witch's swamp,-,-,-,"150, 187, 225","187, 234, 281","225, 281, 337",80,Mixed,0-3,-,-
Woodskip,,Secret Woods,-,-,-,"75, 93, 112","93, 117, 140","112, 140, 168",50,Mixed,0-3,-,-
