Name,Sell Price,Ingredient,Ingredient,Ingredient,Ingredient,Energy,Health,Stat Bonus,Source
Fried Egg,35G,Egg,-,-,-,50,50,,
Omelet,125G,Egg,Milk,-,-,100,40,,Cooking Channel
Salad,110G,Leek,Dandelion,Vinegar,-,113,45,,
Cheese Califlower,300G,Cauliflower,Cheese,-,-,138,55,,
Baked Fish,100G,Sunfish,Bream,Wheat Flour,-,75,30,,Cooking Channel
Parsnip Soup,120G,Parsnip,Milk,Vinegar,-,85,34,,
Vegetable Stew,120G,Tomato,Beet,-,-,165,66,,
Complete Breakfast,350G,Fried Egg,Milk,Hashbrowns,Pancakes,200,80,"Farming+2, Max Energy +50",Cooking Channel
Fried Calamari,150G,Squid,Wheat Flour,Oil,-,80,32,,Jodi - Mail
Strange Bun,175G,Wheat Flour,Periwinkle,Oak Resin,-,50,20,,3+ Hearts Shane
Lucky Lunch,250G,Sea Cucumber,Tortilla,Blue Jazz,-,100,40,Luck+3,Cooking Channel
Fried Mushroom,200G,Common Mushroom,Morel,Oil,-,135,54,Comat+2,
Pizza,300G,Wheat Flour,Tomato,Cheese,-,150,60,,Cooking Channel
Bean Hotpot,100G,Green Bean (2),-,-,-,125,50,Max Energy+2,
Glazed Yams,200G,Yam,Sugar,-,-,200,80,,Cooking Channel
Carp Surprise,150G,Carp (4),-,-,-,90,36,,Cooking Channel
Hashbrowns,120G,Potato,Oil,-,-,90,36,Farming+1,Cooking Channel
Pancakes,80G,Wheat Flour,Egg,-,-,90,36,Foraging+2,Cooking Channel
Salmon Dinner,300G,Salmon,Amarinth,Kale,-,125,50,,
Fish Taco,500G,Tuna,Tortilla,Red Cabbage,Mayonnaise,165,66,Fishing+2,
Crispy Bass,150G,Largemouth Bass,Wheat Flour,Oil,-,90,36,Magnetism+64,
Pepper Poppers,200G,Hot Pepper,Cheese,-,-,130,52,"Farming+2, Speed+1",3+ Hearts Shane
Bread,60G,Wheat Flour,-,-,-,50,20,,Cooking Channel
Trout Soup,100G,Rainbow Trout,Green Algae,-,-,100,40,Fishing+1,"Willy, Cooking Channel"
Chocolate Cake,200G,Wheat Flour,Sugar,Egg,-,150,60,,Cooking Channel
Pink Cake,480G,Melon,Wheat Flour,Sugar,Egg,250,100,,Cooking Channel
Rhubarb Pie,400G,Rhubarb,Wheat Flour,Sugar,-,215,86,,
Cookie,140G,Wheat Flour,Sugar,Egg,-,90,36,,Evelyn - Heart Event
Spaghetti,120G,Wheat Flour,Tomato,-,-,75,30,,
Fried Eel,120G,Eel,Oil,-,-,75,30,Luck+1,
Spicy Eel,175G,Eel,Hot Pepper,-,-,115,46,"Luck+1, Speed+1",
Sashimi,75G,Fish,-,-,-,75,30,Mining+1,Linus - Heart Event
Maki Roll,220G,Fish,Seaweed,Rice,-,100,40,,Cooking Channel
Tortilla,75G,Corn,-,-,-,50,20,,Cooking Channel
Red Plate,400G,Red Cabbage,Radish,-,-,240,96,Max Energy+50,
Eggplant Parmesan,200G,Eggplant,Tomato,-,-,175,70,"Mining+1, Defense+3",
Rice Pudding,260G,Milk,Sugar,Rice,-,115,46,,
Ice Cream,120G,Milk,Sugar,-,-,100,40,,Oasis (Sunday)
Blueberry Tart,180G,Blueberry,Wheat Flour,Sugar,Egg,125,50,,Pierre - Mail
Autumn's Bounty,350G,Yam,Pumpkin,-,-,220,88,"Foraging+2, Defense+2",
Pumpkin Soup,300G,Pumpkin,Milk,-,-,200,80,"Luck+2, Defense+2",Robin - Mail
Super Meal,220G,Bok Choy,Cranberry,Hazelnut,-,160,64,"Max Energy+40, Speed+1",
Cranberry Sauce,175G,Cranberry,Sugar,-,-,125,50,Mining+2,
Stuffing,220G,Bread,Cranberry,Hazelnut,-,170,68,Defense+2,
Farmer's Lunch,150G,Omelet,Parsnip,-,-,200,80,Farming+3,
Survival Burger,150G,Bread,Cave Carrot,Eggplant,-,1,50,Foaging+3,
Dish O' The Sea,220G,Sardine (2),Hashbrowns,-,-,125,50,Fishing+3,
Miner's Treat,200G,Cave Carrot (2),Sugar,Milk,,125,50,"Mining+3, Magnetism+32",
