Picture,Name,Birthday,Loves (80 points),Likes (45 points),Heart events / conversation responses,Universal likes
NON-MARRIAGE CANDIDATES,,,,,,
,Caroline,Winter 7,"-Prismatic shard
-Rabbit's foot
-Fish taco
-Summer spangle","-All Universal Likes (except Amaranth, Duck Mayonnaise, & Mayonnaise)
-Daffodil","-THREE HEARTS: Caroline sends recipe for Parsnip soup
-SIX HEARTS: General store, Caroline and Abigail fighting.
-SEVEN HEARTS: Caroline sends recipe for Vegetable stew","COOKING: 
-All but... 
-NOT fried egg (n) 
-NOT bread (n) 
-NOT strange bun (h) "
,Clint,Winter 26,"-Prismatic shard
-Rabbit's foot
-Amethyst
-Aquamarine
-Artichoke dip
-Emerald
-Fiddlehead risotto
-Gold bar
-Iridium bar
-Jade
-Omni geode
-Ruby
-Topaz","-All Universal Likes (except Flowers)
-Copper bar
-Iron bar","-THREE HEARTS 1: Saloon, 7pm - 11pm Monday. Respond: ""Treat women the same as men."" (+50 friendship.)
-THREE HEARTS 2: Clint sends recipe for algae soup.
-SIX HEARTS: Enter town from Forest, by foot. He asks out Emily.
-SEVEN HEARTS: Clint sends recipe for bean hotpot. ","FRUIT TREE FRUITS:
-Apricot
-Cherry
-Orange
-Peach
-Apple
-Pomegranate

RANDOM:
-Life Elixir
-Maple syrup"
,Demetrius,Summer 19,"-Prismatic shard
-Rabbit's foot
-Bean hotpot
-Ice cream
-Rice pudding
-Strawberry","-All universal likes
-All eggs (except void egg)
-All fruit (Strawberry is love)
-Purple mushroom","-THREE HEARTS: Demetrius sends you recipe for fried mushroom
-SIX HEARTS: His house, arguing with Robin. Respond: ""Fruit"" (+50 friendship.)
-SEVEN HEARTS: Demetrius sends recipe for autumn's bounty","FLOWERS:
-Sweet pea 
-Crocus
-Sunflower 
-Tulip 
-Summer spangle 
-Fairy rose 
-Blue jazz 
-NOT Poppy "
,Dwarf,Summer 22,"-Prismatic shard
-Rabbit's foot
-Amethyst
-Aquamarine
-Emerald
-Jade
-Omni geode
-Ruby
-Topaz","-All Universal Likes
-Dwarf gadget
-All Dwarf scrolls 
-Dwarvish helm
-Quartz",-ZERO HEARTS: Enter sewers after buying a Stardrop from Krobus. No responses. (+50 friendship),"
FORAGED MINERALS: 
-Quartz (varies by villager) 
-Earth crystal 
-Frozen tear 
-Fire quartz"
,Evelyn,Winter 20,"-Prismatic shard
-Rabbit's foot
-Beet
-Chocolate cake
-Diamond
-Fairy rose
-Stuffing
-Tulip","-All Universal Likes (except Fried Eel, Garlic, Maki Roll, Sashimi, Spicy Eel, & Trout Soup)
-All milk
-Daffodil","-FOUR HEARTS: Evelyn's house, she gives you cookie recipe. No responses.
-SEVEN HEARTS: She sends you recipe for Rice pudding.","GEMS:
-Emerald
-Aquamarine
-Ruby
-Amethyst
-Topaz
-Jade
-Diamond
"
,George,Fall 24,"-Prismatic shard
-Rabbit's foot
-Leek
-Fried mushroom","-All Universal Likes (except Flowers)
-Daffodil","-THREE HEARTS: He sends recipe for Fried eel.
-SIX HEARTS: George's house, no responses.
-SEVEN HEARTS: He sends recipe for Spicy eel.","VEGETABLES
-Amaranth
-Artichoke
-Beet"
,Gus,Summer 8,"-Prismatic shard
-Rabbit's foot
-Diamond
-Escargot
-Fish taco
-Orange","-All Universal Likes (except Coleslaw)
-Daffodil","-THREE HEARTS: He sends recipe for Salmon dinner
-FOUR HEARTS: Saloon, Pam needs to pay her tab. Respond: ""The saloon isn't doing well, financially"" (+15 friendship.)
-SEVEN HEARTS: He sends recipe for Cranberry sauce. ","-Bok choy
-Cauliflower
-Corn
-Eggplant
-Fiddlehead fern
-Garlic
-Green bean"
,Jas,Summer 4,"-Prismatic shard
-Rabbit's foot
-Fairy rose
-Pink cake
-Plum pudding","-All Universal Likes (except Artisan Goods & Vegetables)
-Coconut
-Daffodil","BETA: After reaching 8 hearts with Jas and Vincent, the player may trigger a cutscene by entering Cindersap Forest during Spring on a sunny day between 6am and 5pm. During this cutscene, Vincent will show the player how to clean Spring Onions. Afterward, the player will gain ""Spring Onion Mastery"", which permanently increases the sell price of Spring Onions by 5x. Spring Onion Mastery will show in the player's wallet, on the player tab of the inventory menu.","-Kale
-Parsnip
-Potato
-Pumpkin
-Radish
-Red cabbage
-Tomato
-Yam
NOT Wheat and Hops"
,Jodi,Fall 11,"-Prismatic shard
-Rabbit's foot
-Chocolate cake
-Crispy bass
-Diamond
-Eggplant parmesan
-Fried eel
-Pancakes
-Rhubarb pie
-Vegetable medley","-All Universal Likes (except Garlic)
-All eggs (except void egg)
-All fruit (except spice berry)
-All milk","-TWO HEARTS: Can enter her bedroom and find letter from her husband Kent
-THREE HEARTS: She sends recipe for Fried calimari
-FOUR HEARTS: Leave your farmhouse, she invites you to dinner. Must bring largemouth bass. 
-SEVEN HEARTS: She sends recipe for Ice cream. ","ARTISAN GOODS:
-Honey
-Wine
-Juice
-Pale ale
-Beer
-Mead
-Cheese
-Goat cheese
-Coffee"
