Crop,Seed price,Days to grow,Sells for,Tiller profession,Profit/day (base),# for recipes,Total cost,Loves,Likes
Blueberry,80,13 (regrow: 4),"50, 62, 75 (x3)","55, 68, 82 (x3)",18.57 (28 days),2,1440,-,"Demetrius, Elliott, Harvey, Jodi, Kent, Leah, Lewis, Linus, Pam, Robin, Sandy, Shane"
Coffee Bean,"100-2,500 (traveling cart)",10 (regrow: 2),"15, 18, 22 (x4)",-,19.29 (-70 TC) [28 days]; SPRING & SUMMER,5,"0-2500 (2 seasons, 5 crops)",-,-
Corn,150,14 (regrow: 4),"50, 62, 75","55, 68, 82",1.78 (Summer); 7.14 (SUMMER & FALL) ,2,3450,-,"NOT Pierre, Abigail, Haley, Jas, Sam, Vincent"
Hops,60,11 (regrow: 1),"25, 31, 37","27, 33, 40",13.04 (28 days),0,900,-,-
Hot Pepper,40,5 (regrow: 3),"40, 50, 60","44, 55, 66",10 (28 days),2,760,"Lewis, Shane","Demetrius, Elliott, Harvey, Jodi, Kent, Leah, Linus, Pam, Robin, Sandy"
Melon,80,12,"250, 312, 375","275, 343, 412",14.17,2,1840,Penny,"Demetrius, Elliott, Harvey, Jodi, Kent, Leah, Linus, Pam, Robin, Sandy, Shane"
Poppy,100,7,"140, 175, 210","154, 192, 231",5.71,1,300,Penny,-
Radish,40,6,"90, 112, 135","99, 123, 148",8.33,2,680,-,"NOT Abigail, Haley, Jas, Sam, Vincent"
Red cabbage,100 (year 2),9,"260, 325, 390","286, 357, 429",17.78,3,1900,-,"NOT Abigail, Haley, Jas, Sam, Vincent"
Starfruit,400 (oasis),13,"750, 937, 1125","825, 1031, 1237",26.92,0,10000,-,"Demetrius, Elliott, Harvey, Jodi, Kent, Leah, Linus, Pam, Robin, Sandy, Shane"
Summer Spangle,50,8,"90, 112, 135","99, 123, 148",5,0,50,Caroline,"NOT Clint, George, Sebastian"
Sunflower,200,8,"80, 100, 120","88, 110, 132",-15 (SUMMER & FALL) ,0,200,Haley,"NOT Clint, George, Sebastian"
Tomato,50,11 (regrow: 4),"60, 75, 90","66, 82, 99",8.93 (28 days),6,1100,-,"NOT Abigail, Haley, Jas, Sam, Vincent"
Wheat,10,4,"25, 31, 37","27, 33, 40",3.75 (SUMMER & FALL),21,460,-,-
