Crop,Grown,Key,,,Spring,,,,,,,,,,,Fall,,,,,,,,,
Amaranth,,Blue,Bundle,,,,,,,Sell Price,,,,,,,,,,,Sell Price,,,,
Ancient Fruit,,Green,Yes,,Crop,Seed Price,Sold At,Growth Time,Regrowth Time,Regular,Silver,Gold,Gold/Day,Grown,,Crop,Seed Price,Sold At,Growth Time,Regrowth Time,Regular,Silver,Gold,Gold/Day,Grown
Artichoke,,Red,No,,Ancient Fruit,Free,Ancient Seed,28 Days,7 Days,550 Gold,687 Gold,825 Gold,57.14,No,,Amaranth,70 Gold,Pierre,7 Days,,150 Gold,187 Gold,225 Gold,11.43,No
Beet,,Gold,Most Profitable,,Blue Jazz,30 Gold,Pierre,7 Days,,50 Gold,62 Gold,75 Gold,2.86,No,,Ancient Fruit,Free,Ancient Seed,28 Days,7 Days,550 Gold,687 Gold,825 Gold,57.14,No
Blue Jazz,,Light Blue,Seed Not at Pierre's,,Cauliflower,80 Gold,Pierre,12 Days,,175 Gold,218 Gold,262 Gold,7.92,No,,Artichoke,30 Gold,Pierre,8 Days,,160 Gold,200 Gold,240 Gold,16.25,No
Blueberry,,,,,Coffee Bean,2500 Gold,Traveling Cart,10 Days,2 Days,15 Gold,18 Gold,22 Gold,-20.74,No,,Beet,20 Gold,Oasis,6 Days,,100 Gold,125 Gold,150 Gold,13.33,No
Bok Choy,,Assumptions,,,Garlic,40 Gold,Pierre,4 Days,,60 Gold,75 Gold,90 Gold,5,No,,Bok Choy,50 Gold,Pierre,4 Days,,80 Gold,100 Gold,120 Gold,7.5,No
Cactus Fruit,,"Gold/Day assumes all crops are regular quality, no professions are at play, no fertilizers, and multi-harvest crops are planted on the first of the month. The seed price assumes you buy from Pierre as his seeds are cheaper than Joja's (except a few)",,,Green Bean,60 Gold,Pierre,10 Days,3 Days,40 Gold,50 Gold,60 Gold,7.2,No,,Corn,150 Gold,Pierre,14 Days,4 Days,50 Gold,62 Gold,75 Gold,1.92/7.41,No
Cauliflower,,,,,Kale,70 Gold,Pierre,6 Days,,110 Gold,137 Gold,165 Gold,6.67,No,,Cranberries,240 Gold,Pierre,7 Days,5 Days,75 Gold,93 Gold,112 Gold,18.89,No
Coffee Bean,,,,,Parsnip,20 Gold,Pierre,4 Days,,35 Gold,43 Gold,52 Gold,3.75,No,,Eggplant,20 Gold,Pierre,5 Days,5 Days,60 Gold,75 Gold,90 Gold,11.2,No
Corn,,,,,Potato,50 Gold,Pierre,6 Days,,80 Gold,100 Gold,120 Gold,7.67,No,,Fairy Rose,200 Gold,Pierre,12 Days,,290 Gold,362 Gold,435 Gold,7.5,No
Cranberries,,,,,Rhubarb,100 Gold,Oasis,13 Days,,220 Gold,275 Gold,330 Gold,9.23,No,,Grape,60 Gold,Pierre,10 Days,3 Days,80 Gold,100 Gold,120 Gold,16.8,No
Eggplant,,,,,Strawberry,100 Gold,Egg Festival,8 Days,4 Days,120 Gold,150 Gold,180 Gold,20.83/11.67,No,,Pumpkin,100 Gold,Pierre,13 Days,,320 Gold,400 Gold,480 Gold,16.92,No
Fairy Rose,,,,,Tulip,20 Gold,Pierre,6 Days,,30 Gold,37 Gold,45 Gold,1.67,No,,Sunflower,200/125 Gold,JojaMart,8 Days,,80 Gold,100 Gold,120 Gold,-15/-5.63,No
Garlic,,,,,,,,,,,,,,,,Sweet Gem Berry,1000 Gold,Traveling Cart,24 Days,,3000 Gold,3750 Gold,4500 Gold,83.33,No
Grape,,,,,Summer,,,,,,,,,,,Wheat,10 Gold,Pierre,4 Days,,25 Gold,31 Gold,37 Gold,3.75,No
Green Bean,,,,,,,,,,Sell Price,,,,,,Yam,60 Gold,Pierre,10 Days,,160 Gold,200 Gold,240 Gold,10,No
Hops,,,,,Crop,Seed Price,Sold At,Growth Time,Regrowth Time,Regular,Silver,Gold,Gold/Day,Grown,,,,,,,,,,,
Hot Pepper,,,,,Ancient Fruit,Free,Ancient Seed,28 Days,7 Days,550 Gold,687 Gold,825 Gold,57.14,No,,Special Crops,,,,,,,,,
Kale,,,,,Blueberry,80 Gold,Pierre,13 Days,4 Days,50 Gold,62 Gold,75 Gold,20.8,No,,,,,,,Sell Price,,,,
Melon,,,,,Coffee Bean,2500 Gold,Pierre,10 Days,2 Days,15 Gold,18 Gold,22 Gold,-20.74,No,,Crop,Seed Price,Sold At,Growth Time,Regrowth Time,Regular,Silver,Gold,Gold/Day,Grown
Parsnip,,,,,Corn,150 Gold,Pierre,14 Days,4 Days,50 Gold,62 Gold,75 Gold,1.92/7.41,No,,Cactus Fruit,150 Gold,Oasis,12 Days,3 Days,75 Gold,93 Gold,112 Gold,11.11/24.11,No
Poppy,,,,,Hops,60 Gold,Pierre,11 Days,1 Days,25 Gold,31 Gold,37 Gold,13.52,No,,,,,,,,,,,
Potato,,,,,Hot Pepper,40 Gold,Pierre,5 Days,3 Days,40 Gold,50 Gold,60 Gold,10.77,No,,,,,,,,,,,
Pumpkin,,,,,Melon,80 Gold,Pierre,12 Days,,250 Gold,312 Gold,375 Gold,14.17,No,,,,,,,,,,,
Radish,,,,,Poppy,100 Gold,Pierre,7 Days,,140 Gold,175 Gold,210 Gold,5.71,No,,,,,,,,,,,
Red Cabbage,,,,,Radish,40 Gold,Pierre,6 Days,,90 Gold,112 Gold,135 Gold,8.33,No,,,,,,,,,,,
Rhubarb,,,,,Red Cabbage,100 Gold,Pierre,9 Days,,260 Gold,325 Gold,390 Gold,17.78,No,,,,,,,,,,,
Starfruit,,,,,Starfruit,400 Gold,Oasis,13 Days,,750 Gold,937 Gold,1125 Gold,26.92,No,,,,,,,,,,,
Strawberry,,,,,Summer Spangle,50 Gold,Pierre,8 Days,,90 Gold,112 Gold,135 Gold,5,No,,,,,,,,,,,
Summer Spangle,,,,,Sunflower,200/125 Gold,JojaMart,8 Days,,80 Gold,100 Gold,120 Gold,-15/-5.63,No,,,,,,,,,,,
Sunflower,,,,,Tomato,50 Gold,Pierre,11 Days,4 Days,60 Gold,75 Gold,90 Gold,9.26,No,,,,,,,,,,,
Sweet Gem Berry,,,,,Wheat,10 Gold,Pierre,4 Days,,25 Gold,31 Gold,37 Gold,3.75,No,,,,,,,,,,,
Tomato,,,,,,,,,,,,,,,,,,,,,,,,,
Tulip,,,,,,,,,,,,,,,,,,,,,,,,,
Wheat,,,,,,,,,,,,,,,,,,,,,,,,,
Yam,,,,,,,,,,,,,,,,,,,,,,,,,
Total Count,0,,,,,,,,,,,,,,,,,,,,,,,,
